yīyuè	一月
èryuè	二月
sānyuè	三月
sìyuè	四月
wǔyuè	五月
liùyuè	六月
qīyuè	七月
bāyuè	八月
jiǔyuè	九月
shíyuè	十月
shíyīyuè	十一月
shíèryuè	十二月
xīngqīyī	星期一
xīngqīèr	星期二
xīngqīsān	星期三
xīngqīsì	星期四
xīngqīwǔ	星期五
xīngqīliù	星期六
xīngqīrì	星期日
hóngsè	紅色
lǜsè	綠色
lánsè	藍色
huángsè	黃色
hēisè	黑色
báisè	白色
júsè	橘色
zǐsè	紫色
fěnhóngsè	粉紅色
zōngsè	棕色
māma	媽媽
bàba	爸爸
jiějie	姐姐
mèimei	妹妹
gēge	哥哥
dìdi	弟弟
lǎopó	老婆
lǎogōng	老公
érzi	兒子
nǚér	女兒
qínglǎng	晴朗
yǒufēng	有風
xiàyǔ	下雨
xiàxuě	下雪
duōyún	多雲
zuǒbiān	左邊
yòubiān	右邊
zhíxíng	直行
hòumiàn	後面
nǐhǎo	你好
huānyíng	歡迎
zàijiàn	再見
hǎode	好的
xièxiè	謝謝
búkèqì	不客氣
zǎoān	早安
wǎnshànghǎo	晚上好
wǎnān	晚安
chúfáng	廚房
wòshì	臥室
yùshì	浴室
zǒuláng	走廊
hòuyuàn	後院
yángtái	陽台
chē	車
gōngjiāochē	公車
huǒchē	火車
jiǎotàchē	腳踏車
fēijī	飛機
mótuōchē	摩托車
zhòngxíngjīchē	重型機車
kùzi	褲子
xiézi	鞋子
yǎnjìng	眼鏡
màozi	帽子
máoyī	毛衣
shàngyī	上衣
duǎnqún	短裙
liányīqún	連衣裙
wàitào	外套
yīyuàn	醫院
jǐngchájú	警察局
zǒnghuǒchēzhàn	總火車站
jīchǎng	機場
xiāofángjú	消防局
xuéxiào	學校
shìzhèngtīng	市政廳
yīshēng	醫生
lǎoshī	老師
gōngchéngshī	工程師
xuéshēng	學生
lǎobǎn	老闆
lǜshī	律師
hùshì	護士
mén	門
chuānghu	窗戶
qiáng	牆
tiānhuābǎn	天花板
dìbǎn	地板
wūdǐng	屋頂
qiānbǐ	鉛筆
chǐ	尺
bǐjìběn	筆記本
yuánzǐbǐ	原子筆
xiàngpícā	橡皮擦
miànbāo	麵包
píngguǒ	蘋果
niúnǎi	牛奶
xiāngjiāo	香蕉
shuǐ	水
kāfēi	咖啡
fàn	飯
chá	茶
gānlào	干酪
xiāngcháng	香腸
bǐnggān	餅乾
miàn	麵
dàn	蛋
mǎlíngshǔ	馬鈴薯
māo	貓
gǒu	狗
lǎoshǔ	老鼠
niǎo	鳥
hóuzi	猴子
tóu	頭
shǒubì	手臂
shǒu	手
tuǐ	腿
jiǎo	腳
yǎnjīng	眼睛
bízi	鼻子
zuǐbā	嘴巴
ěrduō	耳多
tóufà	頭髮
zhuōzi	桌子
yǐzi	椅子
chuáng	床
shūguì	書櫃
bīngxiāng	冰箱
diànshì	電視
yīguì	衣櫃
shāfā	沙發
māde	媽的
jiànrén	賤人
húndàn	混蛋
báichī	白癡
yī	一
èr	二
sān	三
sì	四
wǔ	五
liù	六
qī	七
bā	八
jiǔ	九
shí	十
shíyī	十一
shíèr	十二
shísān	十三
shísì	十四
shíwǔ	十五
shíliù	十六
shíqī	十七
shíbā	十八
shíjiǔ	十九
èrshí	二十
èrshíyī	二十一
èrshíèr	二十二
èrshísān	二十三
èrshísì	二十四
èrshíwǔ	二十五
èrshíliù	二十六
èrshíqī	二十七
èrshíbā	二十八
èrshíjiǔ	二十九
sānshí	三十
sìshí	四十
wǔshí	五十
liùshí	六十
qīshí	七十
bāshí	八十
jiǔshí	九十
yìbǎi	一百
yībǎiyī	一百一
yìbǎièr	一百二
yìbǎisān	一百三
èrbǎi	二百
sānbǎi	三百
yìqiān	一千
